delta_threshold,row_spike_threshold,topk,mse,rel_l2,quality_loss_pct,row_update_fraction,attention_kept_fraction,sparsity,energy_gain_proxy,attention_mean_abs_delta,value_compute_proxy,dense_score_std,dense_weight_entropy
0.1,1,1,0.6192085022854349,0.20859508016554612,20.859508016554614,1.0,0.125,0.875,8.0,0.32990006887809975,0.125,15.154670777671633,0.2329897110377348
0.1,1,2,0.029564577453568122,0.04557969804946273,4.557969804946273,1.0,0.25,0.75,4.0,0.04834726886157999,0.25,15.154670777671633,0.2329897110377348
0.1,1,3,0.0009313460040452902,0.008089862374620973,0.8089862374620973,1.0,0.375,0.625,2.6666666666666665,0.004590538481947442,0.375,15.154670777671633,0.2329897110377348
0.1,2,1,0.6192085022854349,0.20859508016554612,20.859508016554614,1.0,0.125,0.875,8.0,0.32990006887809975,0.125,15.154670777671633,0.2329897110377348
0.1,2,2,0.029564577453568122,0.04557969804946273,4.557969804946273,1.0,0.25,0.75,4.0,0.04834726886157999,0.25,15.154670777671633,0.2329897110377348
0.1,2,3,0.0009313460040452902,0.008089862374620973,0.8089862374620973,1.0,0.375,0.625,2.6666666666666665,0.004590538481947442,0.375,15.154670777671633,0.2329897110377348
0.1,3,1,0.6197151329151044,0.20868039799348836,20.868039799348836,0.9765625,0.1220703125,0.8779296875,8.192,0.3320274078156337,0.1220703125,15.154670777671633,0.2329897110377348
0.1,3,2,0.03002907645974725,0.04593636156655759,4.593636156655759,0.9765625,0.244140625,0.755859375,4.096,0.05060722723334561,0.244140625,15.154670777671633,0.2329897110377348
0.1,3,3,0.0018205634367741033,0.011310674745598532,1.1310674745598532,0.9765625,0.3662109375,0.6337890625,2.7306666666666666,0.007995643922246911,0.3662109375,15.154670777671633,0.2329897110377348
0.1,4,1,0.6198330139188872,0.20870024443887508,20.87002444388751,0.9296875,0.1162109375,0.8837890625,8.605042016806722,0.3344561206741514,0.1162109375,15.154670777671633,0.2329897110377348
0.1,4,2,0.041973934210824244,0.05430945496883332,5.430945496883332,0.9296875,0.232421875,0.767578125,4.302521008403361,0.0630788271751118,0.232421875,15.154670777671633,0.2329897110377348
0.1,4,3,0.013799460058547378,0.031139859771841367,3.1139859771841367,0.9296875,0.3486328125,0.6513671875,2.8683473389355743,0.020636927182106968,0.3486328125,15.154670777671633,0.2329897110377348
0.2,1,1,0.619895472726872,0.2087107592386989,20.87107592386989,0.9765625,0.1220703125,0.8779296875,8.192,0.33206705521712077,0.1220703125,15.154670777671633,0.2329897110377348
0.2,1,2,0.030327462417641633,0.04616402231130402,4.616402231130403,0.9765625,0.244140625,0.755859375,4.096,0.05129715383085143,0.244140625,15.154670777671633,0.2329897110377348
0.2,1,3,0.0021564182003387796,0.012309831265514043,1.2309831265514044,0.9765625,0.3662109375,0.6337890625,2.7306666666666666,0.00882050350928424,0.3662109375,15.154670777671633,0.2329897110377348
0.2,2,1,0.6563814945172866,0.21476513031307357,21.476513031307356,0.921875,0.115234375,0.884765625,8.677966101694915,0.3445205553611508,0.115234375,15.154670777671633,0.2329897110377348
0.2,2,2,0.04461332347283186,0.05599095748055164,5.599095748055164,0.921875,0.23046875,0.76953125,4.338983050847458,0.06327527914483425,0.23046875,15.154670777671633,0.2329897110377348
0.2,2,3,0.019667004040808473,0.03717531945166813,3.7175319451668134,0.921875,0.345703125,0.654296875,2.8926553672316384,0.026843621423344916,0.345703125,15.154670777671633,0.2329897110377348
0.2,3,1,0.6532807993969774,0.21425726293704056,21.425726293704056,0.7890625,0.0986328125,0.9013671875,10.138613861386139,0.3502646044312532,0.0986328125,15.154670777671633,0.2329897110377348
0.2,3,2,0.10157241947954844,0.08448381257728155,8.448381257728155,0.7890625,0.197265625,0.802734375,5.069306930693069,0.11439472750339022,0.197265625,15.154670777671633,0.2329897110377348
0.2,3,3,0.07666456133709174,0.0733977814854297,7.339778148542971,0.7890625,0.2958984375,0.7041015625,3.3795379537953796,0.07965484031242204,0.2958984375,15.154670777671633,0.2329897110377348
0.2,4,1,0.6639658747240653,0.2160023544755966,21.60023544755966,0.6015625,0.0751953125,0.9248046875,13.2987012987013,0.3747928167838307,0.0751953125,15.154670777671633,0.2329897110377348
0.2,4,2,0.12868144287770295,0.09509190911258149,9.509190911258148,0.6015625,0.150390625,0.849609375,6.64935064935065,0.1606822293748275,0.150390625,15.154670777671633,0.2329897110377348
0.2,4,3,0.10293596016167467,0.08504899099235227,8.504899099235228,0.6015625,0.2255859375,0.7744140625,4.432900432900433,0.1267481707696147,0.2255859375,15.154670777671633,0.2329897110377348
0.3,1,1,0.6219047844893748,0.20904874017428457,20.904874017428458,0.890625,0.111328125,0.888671875,8.982456140350877,0.3373834626883321,0.111328125,15.154670777671633,0.2329897110377348
0.3,1,2,0.05004503509890253,0.0593015581662729,5.93015581662729,0.890625,0.22265625,0.77734375,4.491228070175438,0.07410721567168582,0.22265625,15.154670777671633,0.2329897110377348
0.3,1,3,0.022027006448390146,0.039342626066302504,3.9342626066302504,0.890625,0.333984375,0.666015625,2.9941520467836256,0.03539469343003302,0.333984375,15.154670777671633,0.2329897110377348
0.3,2,1,0.6549339437970375,0.21452818349739483,21.452818349739484,0.7265625,0.0908203125,0.9091796875,11.010752688172044,0.3581318201155079,0.0908203125,15.154670777671633,0.2329897110377348
